id;cca2;continents;currencies;flag;languages;population;capital;bbox
e7b5d56d-e26a-490c-aed6-f26e614b9ba1;VN;Asia;Vietnamese đồng;🇻🇳;Vietnamese;101343800;Hanoi;102.127441406,8.58325195312,109.444921875,23.3452148438
b28fc0bb-a167-49c3-b2e5-27e547b1a655;SY;Asia;Syrian pound;🇸🇾;Arabic;25620000;Damascus;35.764453125,32.3172851562,42.3590820313,37.297265625
62ad9a24-403f-4260-953c-4d4a062acd6d;HN;North America;Honduran lempira;🇭🇳;Spanish;9892632;Tegucigalpa;-89.3625976562,12.9792480469,-83.1575195312,16.5139648438
1004b91b-a508-48d4-84ea-78b7ce7a161b;TN;Africa;Tunisian dinar;🇹🇳;Arabic;11972169;Tunis;7.49560546875,30.2293945312,11.5359375,37.3403808594
7ef6013f-900e-40f9-a763-cf4fdeae7ad0;KM;Africa;Comorian franc;🇰🇲;Arabic,French,Comorian;919901;Moroni;43.2266601563,-12.3682617187,44.5267578125,-11.3684570312
64acb00d-5625-4260-8702-1fdc32d3d02b;SI;Europe;euro;🇸🇮;Slovene;2130638;Ljubljana;13.3782226563,45.4283691406,16.5162109375,46.86328125
c92f551f-036f-44b6-a846-9fe60959cfd0;CH;Europe;Swiss franc;🇨🇭;French,Swiss German,Italian,Romansh;9082848;Bern;5.97001953125,45.8300292969,10.4545898438,47.7756347656
b40c2d75-dd52-47f4-8faa-46f5c8f1873e;MM;Asia;Burmese kyat;🇲🇲;Burmese;51316756;Naypyidaw;92.1795898438,9.875390625,101.147265625,28.5170410156
e8fc81a5-8745-4dc7-abcb-211924e99c9f;PY;South America;Paraguayan guaraní;🇵🇾;Guaraní,Spanish;6109644;Asunción;-62.6509765625,-27.5538085938,-54.241796875,-19.2862304688
b2060b5d-53bc-4ccb-b162-0cdc1469905f;BB;North America;Barbadian dollar;🇧🇧;English;267800;Bridgetown;-59.6466796875,13.0622070312,-59.4276367187,13.3176757813
0149b551-f3d4-4f8c-834b-ad08adfe6c1e;JO;Asia;Jordanian dinar;🇯🇴;Arabic;11734000;Amman;34.95078125,29.1904785156,39.2927734375,33.3722167969
1e776132-67bd-402e-b323-6fafde41a7f7;LA;Asia;Lao kip;🇱🇦;Lao;7647000;Vientiane;100.114941406,13.9211914063,107.653125,22.4952636719
226b3609-ed31-43d2-9e0d-acaf06e4c505;TG;Africa;West African CFA franc;🇹🇬;French;8095498;Lomé;-0.090185546875,6.08940429687,1.7779296875,11.115625
53c5c93b-5c83-4b72-b2aa-adeaebf2a9fd;MA;Africa;Moroccan dirham;🇲🇦;Arabic,Berber;36828330;Rabat;-17.0030761719,21.420703125,-1.06552734375,35.9298828125
85c8ffb7-2b5a-4137-bcf7-c027208c5d73;EE;Europe;euro;🇪🇪;Estonian;1369995;Tallinn;21.8544921875,57.5254882812,28.1510742188,59.6390136719
c944029e-2eef-4dcf-93c6-f2ea762807f7;ID;Asia;Indonesian rupiah;🇮🇩;Indonesian;284438782;Jakarta;95.206640625,-10.9096679688,140.976171875,5.90703125
b9e0c7db-e3dd-4b89-b613-b2711b9e3f66;SC;Africa;Seychellois rupee;🇸🇨;Seychellois Creole,English,French;122729;Victoria;55.3833984375,-4.785546875,55.54296875,-4.5587890625
0e24bdbd-80a2-48e3-8dd5-838aa0e9c04f;ML;Africa;West African CFA franc;🇲🇱;French;22395489;Bamako;-12.2806152344,10.1432617187,4.23466796875,24.9956054688
